Nome do Local,Visitas Anuais,Latitude,Longitude
Inhotim,250000,-20.1268,-44.2013
Gruta de Maquinhe,100000,-19.154,-44.0809
Igreja Sao Francisco de Assis - Ouro Preto,500000,-20.3855,-43.5061
Parque Nacional da Serra do Cipo,150000,-19.3086,-43.5978
Praca da Liberdade - BH,300000,-19.9321,-43.9346
Museu do Aleijadinho - Ouro Preto,200000,-20.3856,-43.5063
Parque Estadual do Ibitipoca,120000,-21.2235,-43.7522
Cachoeira do Tabuleiro,80000,-19.2933,-43.6051
Santuario do Caraca,95000,-20.2606,-43.4888
Pico da Bandeira,70000,-20.4372,-41.8311
